root@comp3134-lab:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:08:53.364558 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6524:6560, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.364597 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6560:6764, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.364625 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6764:6800, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.364664 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6800:7004, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.364694 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7004:7040, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.364733 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7040:7244, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.364779 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7244:7280, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.364824 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7280:7484, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.364853 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7484:7520, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.364892 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7520:7724, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.364924 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7724:7760, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.364964 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7760:7964, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.364994 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 7964:8000, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.365032 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8000:8204, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.365061 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8204:8240, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.365099 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8240:8444, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.365128 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8444:8480, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
